JobTitle,Description,Company,Job Link,Industry,Employment Type,Location,Compensation,Date posted
"Java Developer, Senior, Johannesburg, R1.2 mil per annum", Introduction   Expert full stack Java Developer is required by a technically savvy financial institution. You will join an elite group of developers who are defined as key industry players in utilizing the latest technology and work on the most sought-...,E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1621755-java-developer-senior-johannesburg-r12-mil-per-annum-johannesburg/?jobindex=4,IT,Permanent,Johannesburg,R83 333.00 - R100 000.00 Per Month (Negotiable),2019-10-29
Installations Technician," Are you professional and passionate about delivering a top-notch IT support services? 
Excellent opportunity to join this well-established Company using your IT experience to add value to their Cape Town office and IT infrastructure which involves a combination of on-site installations and repairs and working hand in hand with a fantastic team.",Time Personnel,https://www.careers24.com/jobs/adverts/1622141-installations-technician-cape-town/?jobindex=5,IT,Permanent,Cape Town,Market Related,2019-10-29
Intermediate C# Developer (Contracting), Realise your potential and further develop your career as a Intermediate C# Developer in Contracting.,Network Finance 3,https://www.careers24.com/jobs/adverts/1622116-intermediate-c-developer-contracting-centurion/?jobindex=6,IT,Permanent,Centurion,R40 000.00 - R48 000.00 Per Month,2019-10-29
Intermediate / Senior Java Developer (Contracting), Today I am calling on all Intermediate to Senior Developers â Java that are open to contracting opportunities and available immediately. ,Network Finance 3,https://www.careers24.com/jobs/adverts/1622160-intermediate-senior-java-developer-contracting-johannesburg/?jobindex=7,IT,Permanent,Johannesburg,R80 000.00 - R96 000.00 Per Month,2019-10-29
Data Technician / Cell Phone Technician ," We are currently recruiting for Level 1 Cell Phone Technicians for a client based in JHB, The Grove Mall, Pretoria. The ideal candidate should have previous experience in iphone cell phone repairs and software repairs. ",O'Brien Recruitment,https://www.careers24.com/jobs/adverts/1622135-data-technician-cell-phone-technician-johannesburg/?jobindex=8,"IT, General, Management",Permanent,Johannesburg,Market Related,2019-10-29
Physical Security and Defense unit Manager , Defence and Security subject matter expert,Employ-Africa,https://www.careers24.com/jobs/adverts/1617618-physical-security-and-defense-unit-manager-south-africa/?jobindex=9,IT,Permanent,South Africa,Market Related,2019-10-29
Automation Tester (Contracting), Today I am calling on all Automation Testers that are open to contracting opportunities and available immediately. ,Network Finance 3,https://www.careers24.com/jobs/adverts/1622161-automation-tester-contracting-johannesburg/?jobindex=10,IT,Permanent,Johannesburg,R40 000.00 - R48 000.00 Per Month,2019-10-29
Technical Manager (Bruma)," My client - the market leader in the development of fule monitoring systems requires a very hands on, dedicated Technical Manager to run their team of Technicians and Line Support.  Preferably immediatly availabe with solid experience in a similar role...",Hill Appointments,https://www.careers24.com/jobs/adverts/1621717-technical-manager-bruma-johannesburg/?jobindex=11,"IT, Technology, Technical",Permanent,Johannesburg,R35 000.00 - R40 000.00 Per Month,2019-10-28
Scrum Masters Insurance Industry 1 years Contracts South Africa," SCRUM MASTERS: INSURANCE INDUSTRY SOUTH AFRICA  1 YEAR FIXED TERM CONTRACTS AVAILABLE     QUALIFICATIONS AND EXPERIENCE  ·         Matric  ·         First level Scrum Master certification (PSM I, CSM)  ·         Post-matric education with subjects rela...",Isilumko Staffing (CPT),https://www.careers24.com/jobs/adverts/1582493-scrum-masters-insurance-industry-1-years-contracts-south-africa-western-cape/?jobindex=12,"IT, Insurance",Permanent,Western Cape,R1 000.00 Per Month,2019-10-28
Website Administator,"    General Description     Shimansky Jewellers are seeking an experienced website administrator to join their marketing team. The website administrator will be responsible to understand and implement web design, and the maintenance thereof.     Require...",Shimansky Jewellers,https://www.careers24.com/jobs/adverts/1621697-website-administator-cape-town/?jobindex=13,"Design Services, IT, E-Commerce",Permanent,Cape Town,Market Related,2019-10-28
Website Administator,"    General Description     Shimansky Jewellers are seeking an experienced website administrator to join their marketing team. The website administrator will be responsible to understand and implement web design, and the maintenance thereof.     Require...",Shimansky Jewellers,https://www.careers24.com/jobs/adverts/1621696-website-administator-atlantic-seaboard/?jobindex=14,"Design Services, IT, E-Commerce",Permanent,Atlantic Seaboard,Market Related,2019-10-28
Business Analyst – Procurement, Our client requires the Service of a Business Analyst who will be responsible for ensuring that efficient and cost effective business solutions and processes are in place to address business needs/requirements.  Key performance areas:   Analyse and und...,Peoplefinder Career Placements,https://www.careers24.com/jobs/adverts/1621667-business-analyst-procurement-cape-town-northern-suburbs/?jobindex=15,"Warehousing, FMCG, IT",Permanent,Cape Town Northern Suburbs,Market Related,2019-10-28
Field Technician,    Responsibilities   Build and install wireless networks  Attend to site infrastructure support calls  Maintain Network infrastructure as directed  Electrical wiring on all sites and towers  Radio Link Planning  Inspect and service network infrastruct...,Jenny Internet,https://www.careers24.com/jobs/adverts/1621632-field-technician-northern-cape/?jobindex=16,"IT, Technical, Internet",Permanent,Northern Cape,R13 000.00 - R15 000.00 Per Month (Negotiable),2019-10-28
Technical Manager," A very well-established company offering management solutions requires a Technical Manager to be based in Johannesburg.   Salary between R40000 and R45000 per month cost to company, depending on experience.    Responsibilities  

Manage Team of Install...",HR Xchange,https://www.careers24.com/jobs/adverts/1621626-technical-manager-johannesburg/?jobindex=17,"IT, Management",Permanent,Johannesburg,R40 000.00 - R45 000.00 Per Month,2019-10-28
NETWORK SECURITY ENGINEER," Ref: TJ 11510 - NETWORK SECURITY ENGINEER  Employer Description An award-winning, luxury experiential travel company that tailor-makes exclusive safaris and tours in Africa, Asia and South America.  Job Description    The Network Security Engineer fulf...",Professional Career Services,https://www.careers24.com/jobs/adverts/1621573-network-security-engineer-sandton/?jobindex=18,IT,Permanent,Sandton,R30 000.00 - R50 000.00 Per Month,2019-10-28
Senior Software Engineer - Ruby, Summary of Job Responsible for implementing and operation of business domain products.  Key Role and Responsibilities Technical:    Help to ensure that the integrity of the business domain products are maintained.  Follow and contribute to best practic...,2U,https://www.careers24.com/jobs/adverts/1621565-senior-software-engineer-ruby-western-cape/?jobindex=19,"Education, IT",Permanent,Western Cape,Market Related,2019-10-28
SalesForce Administrator," Summary of Job: Envision, plan, design and coordinate the implementation of systems and processes that provide strategically aligned business value within Salesforce.     Key Role and Responsibilities:  CRM Administrative Configuration and Enhancement ...",2U,https://www.careers24.com/jobs/adverts/1621550-salesforce-administrator-western-cape/?jobindex=20,"Education, IT",Permanent,Western Cape,Market Related,2019-10-28
Data Engineer," Summary of Job: This role will be responsible for implementing and maintaining Data Infrastructure Systems within 2U Short Courses. These systems include Master Data Management Systems, Data Virtualization Systems, Data Visualization Systems and Data W...",2U,https://www.careers24.com/jobs/adverts/1621538-data-engineer-western-cape/?jobindex=21,"Education, IT",Permanent,Western Cape,Market Related,2019-10-28
Senior Technical Lead in Software Development, Job Description  The Core Data Services team has a position available for a Senior Software Developer.      Key Performance Areas  • Solution architecture and development  • Detailed solution and development documentation  • Test case and unit testing ...,Compuscan IT,https://www.careers24.com/jobs/adverts/1621522-senior-technical-lead-in-software-development-gauteng/?jobindex=22,IT,Permanent,Gauteng,Market Related,2019-10-28
Senior Technical Lead in Software Development, Job Description  The Core Data Services team has a position available for a Senior Software Developer.      Key Performance Areas  • Solution architecture and development  • Detailed solution and development documentation  • Test case and unit testing ...,Compuscan IT,https://www.careers24.com/jobs/adverts/1621521-senior-technical-lead-in-software-development-sandton/?jobindex=23,IT,Permanent,Sandton,Market Related,2019-10-28
Front-End Developer," Seeking experienced a Front-End Developer for a Well-Established international IT Company!  Requirements:   National Diploma in Information Technology  4+ years in an IT environment   Skills and Responsibilities:   Core Stack: Angular 4, WordPress, Jav...",Goldman Tech Resourcing,https://www.careers24.com/jobs/adverts/1621520-front-end-developer-johannesburg/?jobindex=24,IT,Permanent,Johannesburg,R48 333.00 - R66 667.00 Per Month (Negotiable),2019-10-28
Senior Technical Lead in Software Development, Job Description  The Core Data Services team has a position available for a Senior Software Developer.      Key Performance Areas  • Solution architecture and development  • Detailed solution and development documentation  • Test case and unit testing ...,Compuscan IT,https://www.careers24.com/jobs/adverts/1621519-senior-technical-lead-in-software-development-cape-winelands/?jobindex=25,IT,Permanent,Cape Winelands,Market Related,2019-10-28
Senior Technical Lead in Software Development, Job Description  The Core Data Services team has a position available for a Senior Software Developer.      Key Performance Areas  • Solution architecture and development  • Detailed solution and development documentation  • Test case and unit testing ...,Compuscan IT,https://www.careers24.com/jobs/adverts/1621518-senior-technical-lead-in-software-development-western-cape/?jobindex=26,IT,Permanent,Western Cape,Market Related,2019-10-28
C# Web Developer," We have an amazing opportunity for a C# Web Developer in Durban.  We require a candidate with:   Proven working experience in web programming   A good understanding of ASP.Net, C#, MVC, .Net Core, Angular, JavaScript, JQuery   Nice to have: Ionic Frame...",Goldman Tech Resourcing,https://www.careers24.com/jobs/adverts/1621513-c-web-developer-durban/?jobindex=27,IT,Permanent,Durban,R2 917.00 - R6 250.00 Per Month (Negotiable),2019-10-28
.NET Developer-CPT/JHB," Are you a skilled .NET Developer looking to work in an agile environment, alongside a young, dynamic, multi-skilled team of Developers and Designers? Then this is the opportunity you’re looking for!!  Required Experience:    B.Sc. Computer Science or s...",Hire Resolve,https://www.careers24.com/jobs/adverts/1621504-net-developer-cpt-jhb-cape-town/?jobindex=28,IT,Permanent,Cape Town,R29 167.00 - R37 500.00 Per Month (Negotiable),2019-10-28
.NET Developer-CPT/JHB," Are you a skilled .NET Developer looking to work in an agile environment, alongside a young, dynamic, multi-skilled team of Developers and Designers? Then this is the opportunity you’re looking for!!  Required Experience:    B.Sc. Computer Science or s...",Hire Resolve,https://www.careers24.com/jobs/adverts/1621503-net-developer-cpt-jhb-johannesburg/?jobindex=29,IT,Permanent,Johannesburg,R29 167.00 - R37 500.00 Per Month (Negotiable),2019-10-28
Senior Mobile Developer," Are you the Android hero that we need?   Are you skilled with a proven track record?   This your next best move.  This Cape Town based company works with some of the biggest names in South Africa, is looking for the best of the best. If you are passion...",Hire Resolve,https://www.careers24.com/jobs/adverts/1621498-senior-mobile-developer-cape-town/?jobindex=30,IT,Permanent,Cape Town,R40 000.00 - R60 000.00 Per Month (Negotiable),2019-10-28
"Senior Java JEE Developers – Pretoria, Menlyn – offering up to R800 per hour"," Work for an international company that provides employees a variety of projects to be involved in, excellent prospects for career development. A rising development crew is seeking to bring a Senior Full Stack Java Developer on board. There is internati...",E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1621431-senior-java-jee-developers-pretoria-menlyn-offering-up-to-r800-per-hour-pretoria/?jobindex=31,IT,Contract,Pretoria,R112 000.00 - R128 000.00 Per Month,2019-10-28
Senior Java Developer – Menlyn – Contract – up to R800 per hour, A growing development squad is looking to bring a Senior Java Developer on board. There are great opportunities for you to attain recognition and have your work used by millions of end-users (Drivers). They have an environment that encourages continuou...,E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1621403-senior-java-developer-menlyn-contract-up-to-r800-per-hour-pretoria/?jobindex=32,IT,Contract,Pretoria,R112 000.00 - R128 000.00 Per Month,2019-10-28
Portuguese Consultant - Gaming, Portuguese online support for a gaming company.   Must be willing to work shifts.  ,Career Connection,https://www.careers24.com/jobs/adverts/1621402-portuguese-consultant-gaming-cape-town/?jobindex=33,"IT, Media, E-Commerce",Permanent,Cape Town,Market Related,2019-10-28
"Senior Level, Java JEE Developers – Menlyn based, offering rates between R450 – R800 per hour"," Do you live in and around the Menlyn area? Are you a highly specialised Senior Java developers, looking to join a growing business! If you have the hunger for software development and are looking for a grand space to join a fast-paced, energetic and fu...",E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1621400-senior-level-java-jee-developers-menlyn-based-offering-rates-between-r450-r800-per-hour-pret/?jobindex=34,IT,Contract,Pretoria,R72 000.00 - R128 000.00 Per Month,2019-10-28
"Java JEE Developers, Senior, offering up to R1.5Million per annum"," Our client is changing the way the end users (Drivers) connect with their products (Cars) worldwide, and the change has barely started! They were awarded ’Executive Car of the Year’. As they continue to evolve, their vision is to remain the leaders in ...",E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1621374-java-jee-developers-senior-offering-up-to-r15million-per-annum-pretoria/?jobindex=35,IT,Contract,Pretoria,R83 333.00 - R125 000.00 Per Month,2019-10-28
"Senior Java Developer, Menlyn, paying up to R1.5 Million per annum"," A highly specialised team is on the lookout for Senior Java Developer developers to join their growing business! If you have the hunger for software development and are looking for a grand space to join a fast-paced, energetic and fun environment, then...",E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1621342-senior-java-developer-menlyn-paying-up-to-r15-million-per-annum-pretoria/?jobindex=36,IT,Contract,Pretoria,R108 333.00 - R130 000.00 Per Month,2019-10-28
Web Developer,"    Our client is in search of a JavaScript developer with ASP experience. You’ll be responsible for the development of various web-based digital projects and application frameworks making use of JavaScript, as well as development for platforms such as ...",Mass Staffing Projects,https://www.careers24.com/jobs/adverts/1621280-web-developer-kwazulu-natal/?jobindex=37,"IT, General",Permanent,KwaZulu-Natal,R35 000.00 - R50 000.00 Per Month,2019-10-28
Senior Java Developer," A client based in Cape Town is looking for a Senior Java Developer to join their team. They are involved in the financial and e-commerce space and require a developer to contribute to the SDLC as well as implementations, development and deployment of a...",Mass Staffing Projects,https://www.careers24.com/jobs/adverts/1621278-senior-java-developer-cape-town/?jobindex=38,"IT, General",Permanent,Cape Town,R80 000.00 - R100 000.00 Per Month,2019-10-28
System Analyst," We are looking for a Senior System Analyst who has hands-on experience with agile methodologies, writing user stories, managing scrum calls, prioritizing backlog, etc. 
The S/A has the primary responsibility to gather, analyze, document, and validate o...",Mpilo Technologies,https://www.careers24.com/jobs/adverts/1621254-system-analyst-south-africa/?jobindex=39,"Banking, IT",Permanent,South Africa,Market Related,
PHP Developer, Are you a PHP Developer currently seeking new opportunities? Well we have the right job for you! A well-established IT company is seeking a PHP Developer to join their Durban based team.  Requirements:   4+ years’ solid experience Web Development.  Ski...,Tumaini Consulting,https://www.careers24.com/jobs/adverts/1621236-php-developer-durban/?jobindex=40,"IT, General",Permanent,Durban,R33 333.00 - R40 000.00 Per Month,2019-10-28
Cloud Developer," Looking for C# Candidates who reside in Pretoria or Centurion areas, that also have got experience with cloud technologies.  Reputable company looking for both Junior and Senior developers with cloud technology experience to join their teams.  Requirem...",Tumaini Consulting,https://www.careers24.com/jobs/adverts/1621233-cloud-developer-pretoria/?jobindex=41,"IT, General",Permanent,Pretoria,R33 333.00 - R60 000.00 Per Month,2019-10-28
Business Analyst , Our client within the FMCG / Manufacturing environment is current in search for a qualified and experienced Business Analyst for the Queenstown branch ,Teleresources (Pty) Ltd,https://www.careers24.com/jobs/adverts/1621508-business-analyst-eastern-cape/?jobindex=42,IT,Permanent,Eastern Cape,Market Related,2019-10-28
Senior Java Developer, A team spirited Developer with strong communication skills to collaborate with various stakeholders.,Network Finance 3,https://www.careers24.com/jobs/adverts/1621700-senior-java-developer-johannesburg/?jobindex=43,IT,Permanent,Johannesburg,R40 000.00 - R80 000.00 Per Month,2019-10-28
Web and Mobile App Developer - Johannesburg,"   Dear Candidate,  We have a job opening with us to work for a largest telecom service provider for Johannesburg on contract for 6 months (extendable based on the project and performance)     ·         Web Developer/ Hybrid Mobile App Developer : HTML,...",INFYSTRAT SOFTWARE SERVICES,https://www.careers24.com/jobs/adverts/1621178-web-and-mobile-app-developer-johannesburg-johannesburg/?jobindex=44,"Banking, IT, Telecommunications",Contract,Johannesburg,R28 800.00 - R44 000.00 Per Month (Negotiable),2019-10-26
Senior/Intermediate Business Analyst -Contract Midrand,  Introduction  Our client based in Midrand is in need of a Business Analyst to be based in Midrand. The project is in the Supply Chain Management category and the project is a procurement software IT project  8 Months Contract     Duties & Responsibili...,PMDMS,https://www.careers24.com/jobs/adverts/1621063-senior-intermediate-business-analyst-contract-midrand-midrand/?jobindex=45,IT,Contract,Midrand,Market Related,2019-10-25
Systems Developer," Leading Manufacturing company in Cape Town is seeking to employ a Systems Developer in their financial department. You will be required to conduct research and data analysis, Using SQL, convert manual work flow processes to automated processes using Fl...",VISP Service Pty Ltd,https://www.careers24.com/jobs/adverts/1621058-systems-developer-western-cape/?jobindex=46,"Accounting, IT, Manufacturing",Permanent,Western Cape,R33 000.00 - R35 000.00 Per Month,2019-10-25
Software Development Manager EE," ENVIRONMENT:

An innovative investment firm requires a Software Development Manager to lead and assist the developers in building a world-class next generation of applications. As Software Development Manager, you will drive software delivery projects ...",Datafin Recruitment,https://www.careers24.com/jobs/adverts/1621054-software-development-manager-ee-western-cape/?jobindex=47,IT,Permanent,Western Cape,Up to R108 333.00 Per Month,2019-10-25
Senior Developer, We have an amazing opportunity for a Senior Developer in Durban!  We require a candidate with:   Degree/Diploma  Testing systems domain knowledge (Internal testing tools and frameworks)  General systems domain knowledge (Server and Service Infrastructu...,Goldman Tech Resourcing,https://www.careers24.com/jobs/adverts/1621017-senior-developer-durban/?jobindex=48,IT,Permanent,Durban,R66 667.00 - R79 167.00 Per Month (Negotiable),2019-10-25
Android & iOS Developer, We have an amazing opportunity for an Android & iOS developer  We require a candidate with:   Android/iOS Developer with two years plus experience  Java/Swift  Junit  Android/iOS API's  Knowledge of the SOLID principles (Clean code)  OO concepts  Softw...,Goldman Tech Resourcing,https://www.careers24.com/jobs/adverts/1621016-android-ios-developer-cape-town/?jobindex=49,IT,Permanent,Cape Town,R25 000.00 - R50 000.00 Per Month (Negotiable),2019-10-25
Test Lead ," ENVIRONMENT:

A fast-growing reputable retailer seeks the expertise of a highly technical Test Lead to join its team. Your core role will be to manage, monitor, plan and organise the testing of applications according to a test strategy, master test pla...",Datafin Recruitment,https://www.careers24.com/jobs/adverts/1620938-test-lead-cape-town/?jobindex=50,IT,Permanent,Cape Town,Market Related,2019-10-25
Mid-Level Software Developer, A well-established metal company in the Cape Town area is looking for a skilled intermediate software developer to join their talented and experienced team. This could be the perfect opportunity for you!   Requirements:    B.Sc. Computer Science or sim...,Hire Resolve,https://www.careers24.com/jobs/adverts/1620917-mid-level-software-developer-bellville/?jobindex=51,IT,Permanent,Bellville,R50 000.00 - R54 167.00 Per Month (Negotiable),2019-10-25
Mobile Developer, Are you the Mobile Maverick we need in Johannesburg?   Are you skilled with a proven track record?   This your next best move.  A Johannesburg based company is looking for the best of the best. They need a Developer whose primary responsibility will be...,Hire Resolve,https://www.careers24.com/jobs/adverts/1620915-mobile-developer-johannesburg/?jobindex=52,IT,Permanent,Johannesburg,R40 000.00 - R60 000.00 Per Month (Negotiable),2019-10-25
Senior Network Engineer," ENVIRONMENT:

A fast-paced UK Tech company seeks a highly technical Senior Network Engineer to join its team. Your role will include supporting the virtual team & resolving complex technical issues, contributing to improving standards, daily escalation...",Datafin Recruitment,https://www.careers24.com/jobs/adverts/1620855-senior-network-engineer-milnerton/?jobindex=53,IT,Permanent,Milnerton,Market Related,2019-10-25
Managed Services Engineer," ENVIRONMENT:

A fast-growing UK tech company seeks a strong technical Managed Services Engineer to join its remote team at its Cape Town office. You will assume the core role of IT system administration for a diverse range of clients which will include...",Datafin Recruitment,https://www.careers24.com/jobs/adverts/1620854-managed-services-engineer-milnerton/?jobindex=54,IT,Permanent,Milnerton,Market Related,2019-10-25
Client Security Engineer – R700 per hour – Pretoria," Job Description  Are you a Client Security Engineer looking for a change in environment? Would you like the change of environment to include the sportiest, trendiest and sweetest wheels, not even on the road right now? Well, international leaders in th...",E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1620787-client-security-engineer-r700-per-hour-pretoria-pretoria/?jobindex=55,IT,Contract,Pretoria,R111 840.00 - R112 000.00 Per Month (Negotiable),2019-10-25
Infrastructure Lead - AIX - Johannesburg – up to R1.1mil per annum, A big player in the investment space is on the lookout for an Infrastructure AIX Lead with extensive UNIX experience to join a collaborative team of diverse developers creating global innovative digital solutions. The uniquely flexible and vibrant work...,E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1620759-infrastructure-lead-aix-johannesburg-up-to-r11mil-per-annum-johannesburg/?jobindex=56,IT,Permanent,Johannesburg,R83 333.00 - R91 667.00 Per Month,2019-10-25
Client Security Engineer – R600 per hour – Pretoria," Job Description  Are you a Client Security Engineer looking for a change in environment? Would you like the change of environment to include the sportiest, trendiest and sweetest wheels, not even on the road right now? Well, international leaders in th...",E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1620754-client-security-engineer-r600-per-hour-pretoria-pretoria/?jobindex=57,IT,Permanent,Pretoria,R95 840.00 - R96 000.00 Per Month (Negotiable),2019-10-25
Infrastructure Lead - Cloud - Johannesburg – up to R1.1mil per annum, A big player in the investment space is on the lookout for an Infrastructure Lead with extensive cloud experience to join a collaborative team of diverse developers creating global innovative digital solutions. You will be building and improving practi...,E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1620730-infrastructure-lead-cloud-johannesburg-up-to-r11mil-per-annum-johannesburg/?jobindex=58,IT,Permanent,Johannesburg,R83 333.00 - R91 667.00 Per Month,2019-10-25
Senior BI Analyst," Overview:  We are looking for a passionate Business Intelligence (BI) analyst/developer to turn data into information, information into insight and insight into business decisions. Responsibilities include conducting full lifecycle activities to includ...",Moyo Talent Solutions,https://www.careers24.com/jobs/adverts/1620729-senior-bi-analyst-gauteng/?jobindex=59,IT,Permanent,Gauteng,Market Related,2019-10-25
Senior Cross Platform Full-stack Developer - Johannesburg – up to R960k per annum," A big player in the investment space is on the lookout for Senior Cross Platform Full-stack Developers to join a collaborative team of diverse developers creating global innovative digital solutions. They are looking for multi-platform developers, work...",E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1620700-senior-cross-platform-full-stack-developer-johannesburg-up-to-r960k-per-annum-johannesburg-c/?jobindex=60,IT,Permanent,Johannesburg CBD,R75 000.00 - R80 000.00 Per Month,2019-10-25
Client Security Engineer – R550 per hour – Pretoria, Job Description  Working for a wealthy premium vehicle company has never been this easy before! If you are a Java Client Security Engineer looking for a positive change and want to be working with an awesome team on space-age projects – get in touch wi...,E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1620698-client-security-engineer-r550-per-hour-pretoria-pretoria/?jobindex=61,IT,Contract,Pretoria,R87 840.00 - R88 000.00 Per Month (Negotiable),2019-10-25
Intermediate Java MicroServices Developers – Johannesburg North – Bryanston – R760 PA," An innovative telecoms client based in Johannesburg North is in search of Intermediate expert Java J2EE developers to design and develop high-volume and performance.    5G Telecoms environment offering flexy time, numerous courses and training, plenty ...",E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1620676-intermediate-java-microservices-developers-johannesburg-north-bryanston-r760-pa-johannesburg/?jobindex=62,IT,Permanent,Johannesburg,R58 333.00 - R63 333.00 Per Month,2019-10-25
Sales Engineer," Sales enablement: o Position Mimecast’s solutions as business benefit relevant to the audience and/or decision makers (CIO’s, CTO’s, CISOs, CFO’s, Technical Teams and Sales people) o Meaningful and impactful Technical and Product demonstrations o Achie...",Blum & Hofmeyr,https://www.careers24.com/jobs/adverts/1620674-sales-engineer-johannesburg/?jobindex=63,IT,Permanent,Johannesburg,Market Related,2019-10-25
Senior Java MicroServices Developers – Telecoms – Bryanston - R1mill PA," An innovative telecoms client based in Johannesburg North is in search of Senior expert Java J2EE developers to design and develop high-volume, performance critical telecoms 5G mobile card applications.   Qualifications   BSC Degree / Diploma Computer ...",E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1620653-senior-java-microservices-developers-telecoms-bryanston-r1mill-pa-johannesburg/?jobindex=64,IT,Permanent,Johannesburg,R79 167.00 - R83 333.00 Per Month,2019-10-25
Senior Back End Engineer,"  PLEASE NOTE THIS POSITION IS BASED IN STELLENBOSCH  Entersekt is an innovator in push-based authentication and app security. As a member of the back-end team, you will work closely with developers and QA automation engineers in an Agile environment. T...",Entersekt,https://www.careers24.com/jobs/adverts/1620651-senior-back-end-engineer-western-cape/?jobindex=65,"Banking, IT, Technology",Permanent,Western Cape,Market Related,
Client Security Engineer – R450 per hour – Pretoria," Job Description  Are you a Client Security Engineer looking for a change in environment? Would you like the change of environment to include the sportiest, trendiest and sweetest wheels, not even on the road right now? Do you want to save the world fro...",E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1620649-client-security-engineer-r450-per-hour-pretoria-pretoria/?jobindex=66,IT,Contract,Pretoria,R71 840.00 - R80 000.00 Per Month (Negotiable),2019-10-25
Senior PHP/ Moodle Developer," There is still time to find the perfect opportunity before the end of 2019. My client, a private higher education institution is looking for a passionate PHP Developer    to join their team. This position offers far more than just experience. You will ...",Adcorp,https://www.careers24.com/jobs/adverts/1620637-senior-php-moodle-developer-durban/?jobindex=67,IT,Permanent,Durban,Market Related (Negotiable),2019-10-25
Mobile DevOps Engineer,"  Entersekt is looking for a person with a passion for DevOps, quality, and researching new technologies to enhance the mobile software development workflow. The quality engineering team is integral to building Entersekt’s cutting-edge security software...",Entersekt,https://www.careers24.com/jobs/adverts/1616804-mobile-devops-engineer-cape-town-northern-suburbs/?jobindex=68,"Banking, IT, Technology",Permanent,Cape Town Northern Suburbs,Market Related,
Client Security Engineer – R650 per hour – Pretoria, Job Description  A Conglomerate in the Automobile space is seeking a Client Security Engineer to join their team on developing futuristic projects and work for the leaders in their industry. If you are keen on working for an awesome company on exciting...,e-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1620616-client-security-engineer-r650-per-hour-pretoria-pretoria/?jobindex=69,IT,Contract,Pretoria,R103 840.00 - R104 000.00 Per Month (Negotiable),2019-10-25
Oracle Developer," Role Purpose and Objectives: 
The role of the IT Supply Chain team is to develop application development. This role will engage the Solution Architects and Business Analysts to assist in solution design efforts including analysis, design and architectu...",Moladira Skills,https://www.careers24.com/jobs/adverts/1620612-oracle-developer-johannesburg/?jobindex=70,"IT, Retail",Permanent,Johannesburg,R41 667.00 - R42 156.00 Per Month,2019-10-25
Java Developer, A UK Based business is in the market for skilled JAVA Developers. This business is operating with the payment solutions space internationally and the successfull incumbent will be working on projects on an international and local level.   If you are ke...,Moladira Skills,https://www.careers24.com/jobs/adverts/1620608-java-developer-johannesburg/?jobindex=71,"IT, Management",Contract,Johannesburg,R40 000.00 - R50 000.00 Per Month,2019-10-25
Mid-Senior Java Developer, Are you a Mid-Senior Java Developer currently seeking new opportunities? Well we have the right job for you! A well-established IT company is seeking a Java Developer to join their Johannesburg based team.  Requirements:   5+ years’ solid experience in...,Tumaini Consulting,https://www.careers24.com/jobs/adverts/1620563-mid-senior-java-developer-johannesburg/?jobindex=72,"IT, General",Permanent,Johannesburg,R80 000.00 - R83 333.00 Per Month,2019-10-25
Mobile Developer," Calling all Mobile Developers!   Are you proficient in PhoneGap and Xamarin?  Do you have experience with both Android and iOS operating systems?  Are you passionate about all things IT?  If you answered yes to those questions, we may have the PERFECT ...",Tumaini Consulting,https://www.careers24.com/jobs/adverts/1620562-mobile-developer-cape-town/?jobindex=73,"IT, General",Permanent,Cape Town,R41 667.00 - R50 000.00 Per Month,2019-10-25
Business Analyst,"     POST LEVEL    ·       P6    NATURE OF APPOINTMENT    ·       Permanent support services      MAIN PURPOSE    This role is responsible for analysis of business units to identify stakeholder’s needs and design the technical systems, business models, ...","Central University of Technology, Free State",https://www.careers24.com/jobs/adverts/1619689-business-analyst-bloemfontein/?jobindex=74,"IT, Technology, Management",Permanent,Bloemfontein,Market Related,2019-10-25
Senior Lecturer: Information Technology," NATURE OF APPOINTMENT:    Permanent Academic      SUBJECT FIELD(S):    Computer Networking and Computer Security  Object Oriented Programming          MAIN TASKS     1. Teaching, learning and assessment 2. Student evaluation       3. Research 4. Admini...","Central University of Technology, Free State",https://www.careers24.com/jobs/adverts/1619681-senior-lecturer-information-technology-bloemfontein/?jobindex=75,"IT, Academic, Research",Permanent,Bloemfontein,Market Related (Negotiable),2019-10-25
